ID,Title,Categories,Tags,URL,Published Date
33659,2025-11-21 AI Newsletter,Roundups,"AI, AI Newsletter",https://posit.co/blog/2025-11-21-ai-newsletter/,2025-11-21 12:59:01
33510,Privacy and AI Assistants,Deep Dives,"AI, Databot, Positron Assistant",https://posit.co/blog/trust-llm-tools/,2025-11-20 10:57:00
33442,Create and Deploy a Python Shiny Express Application to Connect Cloud,Deep Dives,"Posit Connect Cloud, positron, Python, shiny",https://posit.co/blog/shiny-python-in-positron/,2025-11-14 10:51:00
33330,"When plotting, LLMs see what they expect to see",Deep Dives,"AI, bluffbench, llm",https://posit.co/blog/introducing-bluffbench/,2025-11-13 8:56:00
32945,More Control for Your Connect Cloud Deployments,Products and Technology,"Posit Connect Cloud, release",https://posit.co/blog/more-control-for-your-connect-cloud-deployments/,2025-11-10 16:17:52
32964,Winners of the 2025 Table Contest,Company News and Events,DT great_tables gt Python Reactable rstats tables,https://posit.co/blog/2025-table-contest-winners/,2025-11-10 15:03:56
32951,What’s New in Posit Workbench 2025.09.2: Expanded AI Provider Support and Data Explorer Features,Products and Technology,"Posit Workbench, positron, release, RStudio, Workbench",https://posit.co/blog/rstudio-2025-09-2-whats-new/,2025-11-10 7:31:00
33005,2025-11-07 AI Newsletter,Roundups,"AI, AI Newsletter",https://posit.co/blog/2025-11-07-ai-newsletter/,2025-11-07 13:10:28
33186,Talk recordings and workshop materials from posit::conf(2025),Company News and Events,"conf, posit::conf, posit::conf(2025)",https://posit.co/blog/talks-and-workshops-from-posit-conf-2025/,2025-11-07 11:14:00
33125,Anaconda Ends R Support — Here’s What It Means and How to Move Forward,Company News and Events,,https://posit.co/blog/anaconda-ends-r-support-heres-what-it-means-and-how-to-move-forward/,2025-11-06 21:16:41
32397,Build and Deploy AI-Powered Data Products Without Leaving Snowflake: Introducing the Posit Team Native App,Products and Technology,snowflake,https://posit.co/blog/introducing-the-snowflake-posit-team-native-app/,2025-11-06 15:01:56
32712,Your first Python project in Positron,Deep Dives,"positron, Python",https://posit.co/blog/first-python-project-in-positron/,2025-10-29 8:09:00
32349,2025-10-24 AI Newsletter,Roundups,"AI, AI Newsletter",https://posit.co/blog/2025-10-24-ai-newsletter/,2025-10-24 13:38:00
32027,"People Analytics: Resources, stories, and teachings from our community",Data Science Leadership,"data career insights, data science hangout",https://posit.co/blog/people-analytics-resources-stories-and-teachings/,2025-10-17 19:13:38
31868,2025-10-10 AI Newsletter,Roundups,"AI, AI Newsletter",https://posit.co/blog/2025-10-10-ai-newsletter/,2025-10-10 12:49:01
31506,posit::conf(2025) Recap,Company News and Events,"conf, posit::conf, posit::conf(2025)",https://posit.co/blog/posit-conf-2025-recap/,2025-10-03 14:07:21
31466,Posit Recognized as “One to Watch” in Snowflake’s Modern Marketing Data Stack Report,Company News and Events,snowflake,https://posit.co/blog/posit-recognized-as-one-to-watch-in-snowflakes-modern-marketing-data-stack-report/,2025-10-01 16:12:20
31273,Create a Quarto Document in Positron,Deep Dives,"positron, quarto",https://posit.co/blog/create-a-quarto-document-in-positron/,2025-10-01 14:28:29
31206,2025-09-26 AI Newsletter,Roundups,"AI, AI Newsletter, llm",https://posit.co/blog/2025-09-26-ai-newsletter/,2025-09-26 16:08:01
31028,Positron at posit::conf(2025) Roundup,Products and Technology,positron,https://posit.co/blog/positron-conf-announcement/,2025-09-17 15:48:22
30827,RStudio IDE and Posit Workbench 2025.09.0: What’s New,Products and Technology,"Posit Workbench, positron, release, RStudio",https://posit.co/blog/rstudio-2025-09-0-whats-new/,2025-09-15 11:42:18
30807,2025-09-12 AI Newsletter,Roundups,"AI, AI Newsletter, llm",https://posit.co/blog/2025-09-12-ai-newsletter/,2025-09-12 15:51:19
29696,What's New in Posit Package Manager: September 2025,Products and Technology,"Posit Package Manager, release",https://posit.co/blog/posit-package-manager-2025-09-0/,2025-09-12 13:35:33
30759,Posit Signs Strategic Collaboration Agreement with AWS,Company News and Events,AWS,https://posit.co/blog/posit-signs-strategic-collaboration-agreement-with-aws/,2025-09-12 12:02:29
30600,Deploy to Connect Cloud from Positron and VS Code,Products and Technology,"Posit Connect Cloud, Product Release",https://posit.co/blog/connect-cloud-posit-publisher/,2025-09-11 13:22:17
30482,Positron for Product Owners,Data Science Leadership,positron,https://posit.co/blog/positron-for-product-owners/,2025-09-09 14:32:40
30250,Driving more efficient and reproducible workflows with Posit Academy,Data Science Leadership,posit academy,https://posit.co/blog/posit-academy-efficient-reproducible-workflows/,2025-09-03 14:15:39
30263,2025-08-29 AI Newsletter,Roundups,"AI, AI Newsletter, llm",https://posit.co/blog/2025-08-29-ai-newsletter/,2025-08-29 14:19:48
30244,Databot is not a flotation device,Products and Technology,"Databot, positron",https://posit.co/blog/databot-is-not-a-flotation-device/,2025-08-28 21:12:42
30239,Introducing Databot: An AI assistant for exploratory data analysis,Products and Technology,"Databot, positron",https://posit.co/blog/introducing-databot/,2025-08-28 21:11:53
29985,Announcing Plotnine 0.15.0,Products and Technology,"AI, BTW, ellmer, llm",https://posit.co/blog/plotnine-0-15-0/,2025-08-28 8:28:00
30058,A guide to actuarial techniques in R and Python,Industry,FSI,https://posit.co/blog/actuarial-techniques-r-python/,2025-08-28 8:06:00
